java/build/org/apache/derbyBuild/classlister.java!locateClass(String#commaboolean),10,85,5,78,9,41,2,11,11,24,41,10,31,17,17,17,10,22,22,6,22,0.03
java/build/org/apache/derbyBuild/classlister.java!main(String[]),2,13,3,10,2,6,0,5,5,5,7,2,5,2,2,2,1,0,0,1,0,0
java/build/org/apache/derbyBuild/classlister.java!run(),13,106,17,84,7,55,5,23,23,32,51,9,42,20,20,22,13,27,27,5,24,0.06
java/build/org/apache/derbyBuild/classlister.java!showAllItems(),3,14,0,14,6,8,0,6,6,7,9,5,4,2,2,2,1,0,0,1,0,0
java/build/org/apache/derbyBuild/classlister.java!showAllItemsOneLevel(),3,21,1,20,7,13,0,5,5,11,14,7,7,3,3,3,1,0,0,2,0,0
java/build/org/apache/derbyBuild/classlister.java!unrollHashtable(String#commaHashtable#commaHashtable#commaint),7,38,4,34,6,21,0,8,8,20,26,8,18,6,6,6,4,3,3,3,3,0
java/build/org/apache/derbyBuild/classlister.java!unrollHashtable(String#commaHashtable<String#commaString>#commaHashtable<String#commaInteger>#commaint),7,43,4,39,11,21,0,8,8,20,26,8,18,6,6,6,4,3,3,3,3,0
java/build/org/apache/derbyBuild/ClassSizeCrawler.java!addClass(Class),5,7,0,7,2,4,1,4,4,3,5,2,3,2,2,2,1,0,0,1,0,0.14
java/build/org/apache/derbyBuild/ClassSizeCrawler.java!ClassSizeCrawler(Class[]#commaint#commaHashtable),4,9,0,9,3,4,0,7,7,4,5,1,4,1,1,1,1,0,0,0,0,0
java/build/org/apache/derbyBuild/ClassSizeCrawler.java!ClassSizeCrawler(Class[]#commaint#commaHashtable<String>),4,9,0,9,3,4,0,7,7,4,5,1,4,1,1,1,1,0,0,0,0,0
java/build/org/apache/derbyBuild/ClassSizeCrawler.java!crawl(File#commaStringBuffer),7,64,2,61,7,36,2,15,15,25,37,9,28,13,13,13,1,5,0,6,0,0.03
java/build/org/apache/derbyBuild/ClassSizeCrawler.java!main(String[]),5,134,9,120,24,88,8,28,28,67,82,28,54,17,17,18,1,4,0,6,0,0.07
java/build/org/apache/derbyBuild/eclipse/DerbyEclipsePlugin.java!createTmpFiles(),9,11,1,10,4,8,0,4,4,8,9,4,5,1,1,1,1,0,0,0,0,0
java/build/org/apache/derbyBuild/eclipse/DerbyEclipsePlugin.java!getProps(),16,26,5,15,4,13,8,9,9,13,14,4,10,1,1,1,1,0,0,0,0,0.53
java/build/org/apache/derbyBuild/eclipse/DerbyEclipsePlugin.java!main(String[]),3,19,4,15,2,10,0,5,5,7,10,2,8,3,3,3,1,2,0,1,0,0
java/build/org/apache/derbyBuild/ElementFacade.java!ElementFacade(Document),2,8,0,3,1,1,5,3,3,1,2,1,1,1,1,1,1,0,0,0,0,1.67
java/build/org/apache/derbyBuild/ElementFacade.java!ElementFacade(Element),2,8,0,3,1,1,5,2,2,1,2,1,1,1,1,1,1,0,0,0,0,1.67
java/build/org/apache/derbyBuild/ElementFacade.java!getElementByTagName(String),6,16,0,9,3,6,7,4,4,4,6,3,3,2,2,2,1,0,0,1,0,0.78
java/build/org/apache/derbyBuild/ElementFacade.java!getTextByTagName(String),4,10,0,3,1,1,7,4,4,1,2,1,1,1,1,1,1,0,0,0,0,2.33
java/build/org/apache/derbyBuild/ElementFacade.java!getTextListByTagName(String),4,17,0,9,4,6,8,7,7,7,9,5,4,2,2,2,1,0,0,1,0,0.89
java/build/org/apache/derbyBuild/GeneratorBase.java!addHeadlinedItem(Element#commaString#commaString),5,21,2,11,6,8,8,6,6,8,9,5,4,1,1,1,1,0,0,0,0,0.73
java/build/org/apache/derbyBuild/GeneratorBase.java!addListItem(Element#commaNode),4,17,2,8,4,5,7,4,4,5,6,3,3,1,1,1,1,0,0,0,0,0.88
java/build/org/apache/derbyBuild/GeneratorBase.java!addParagraph(Element#commaString),7,18,2,9,5,6,7,5,5,6,7,4,3,1,1,1,1,0,0,0,0,0.78
java/build/org/apache/derbyBuild/GeneratorBase.java!boldText(Document#commaString),4,13,1,5,3,2,7,2,2,2,3,2,1,1,1,1,1,0,0,0,0,1.4
java/build/org/apache/derbyBuild/GeneratorBase.java!buildDelta(Element),4,14,1,8,4,4,5,1,1,2,3,2,1,1,1,1,1,0,0,0,0,0.62
java/build/org/apache/derbyBuild/GeneratorBase.java!cloneChildren(Node#commaNode),6,19,1,11,7,7,7,6,6,8,10,7,3,2,2,2,1,0,0,1,0,0.64
java/build/org/apache/derbyBuild/GeneratorBase.java!createHeader(Element#commaint#commaString),8,25,2,14,7,11,9,7,7,11,12,6,6,1,1,1,1,0,0,0,0,0.64
java/build/org/apache/derbyBuild/GeneratorBase.java!createLink(Document#commaString#commaNode),5,17,2,7,3,4,8,4,4,4,5,2,3,1,1,1,1,0,0,0,0,1.14
java/build/org/apache/derbyBuild/GeneratorBase.java!createLink(Document#commaString#commaString),4,14,1,5,3,2,8,3,3,2,3,2,1,1,1,1,1,0,0,0,0,1.6
java/build/org/apache/derbyBuild/GeneratorBase.java!createList(Element),5,15,2,7,4,4,6,4,4,4,5,3,2,1,1,1,1,0,0,0,0,0.86
java/build/org/apache/derbyBuild/GeneratorBase.java!createLocalLink(Document#commaString#commaNode),4,12,0,4,2,1,8,2,2,1,2,1,1,1,1,1,1,0,0,0,0,2
java/build/org/apache/derbyBuild/GeneratorBase.java!createLocalLink(Document#commaString#commaString),3,14,1,5,3,2,8,3,3,2,3,2,1,1,1,1,1,0,0,0,0,1.6
java/build/org/apache/derbyBuild/GeneratorBase.java!createSection(Element#commaint#commaElement#commaString#commaNode),5,21,2,8,5,4,11,5,5,4,5,3,2,1,1,1,1,0,0,0,0,1.38
